Model_A,Model_B,W,p_value,z,r_effect,p_adj
SVM (All),K-Neighbors (Wilcoxon - inCV),54.0,9.07522945681194e-11,-6.4816044715717975,-0.9166372949634933,7.051453287942877e-08
SVM (All),K-Neighbors (Kruskal - inCV),40.0,1.5448975432263978e-11,-6.743618602811567,-0.953691688756762,1.2220139566920807e-08
SVM (All),K-Neighbors (Chi-square - inCV),42.0,8.99883928836417e-09,-5.748594411955627,-0.8129740181969835,5.948232769608716e-06
SVM (All),K-Neighbors (KS - inCV),114.0,2.8573925447972215e-08,-5.549957376536288,-0.7848824992490221,1.8144442659462356e-05
SVM (All),Decision Tree (MW - inCV),48.0,1.2656340961232244e-08,-5.690640921630988,-0.8047781569965872,8.234481050045488e-06
SVM (All),Decision Tree (Wilcoxon - inCV),35.0,7.65609797781508e-12,-6.844840772590466,-0.968006665288177,6.086597892362988e-09
SVM (All),Decision Tree (Kruskal - inCV),25.0,1.6058265828178264e-12,-7.065028823481318,-0.999145958072411,1.294296225751168e-09
SVM (All),Decision Tree (Chi-square - inCV),48.0,4.3806736016449577e-11,-6.5905950074247315,-0.9320508843608464,3.416925409283067e-08
SVM (All),Decision Tree (KS - inCV),54.0,9.07522945681194e-11,-6.4816044715717975,-0.9166372949634933,7.051453287942877e-08
SVM (All),Naive Bayes (MW - inCV),6.0,2.4868995751603507e-14,-7.622561816573916,-1.0779930301026128,2.1188384380366188e-11
SVM (All),Naive Bayes (Wilcoxon - inCV),5.0,1.7763568394002505e-14,-7.665860858431098,-1.0841164393258316,1.5294432387236157e-11
SVM (All),Naive Bayes (Kruskal - inCV),7.5,1.1898838531003364e-09,-6.081600984949146,-0.8600682593856656,8.483871872605399e-07
SVM (All),Naive Bayes (Chi-square - inCV),0.0,1.7763568394002505e-15,-7.956038125481531,-1.1251537019813398,1.8385293287792592e-12
SVM (All),Naive Bayes (KS - inCV),5.0,1.7763568394002505e-14,-7.665860858431098,-1.0841164393258316,1.5294432387236157e-11
SVM (All),Integrated-SelectFromModel (L1-LR selector) + LR,497.0,0.1781010477908609,-1.3466249705201487,-0.19044152967398637,1.0
SVM (All),Integrated-SelectFromModel (L1-LR selector) + SVM,418.5,0.03450735438537489,2.114092655278392,0.298977850520805,1.0
SVM (All),Integrated-SelectFromModel (L1-LR selector) + KNN,77.0,1.080529443697742e-09,6.097036367095577,0.862251152062855,7.779811994623742e-07
SVM (All),Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,45.0,1.0677453640053683e-08,5.719600926321221,0.8088737201365188,6.992361172555991e-06
SVM (All),Integrated-SelectFromModel (RF selector) + RF,1.0,3.552713678800501e-15,-7.869777910570139,-1.1129546653992488,3.318234575999668e-12
SVM (All),Integrated-SelectFromModel (RF selector) + LR,165.5,5.204421693467544e-06,-4.5563740712634875,-0.6443686006825938,0.0027999788710855386
SVM (All),Integrated-SelectFromModel (RF selector) + KNN,134.0,1.3054913772236887e-07,5.278073452652985,0.746432305994324,7.963497401064501e-05
SVM (All),Integrated-RFECV (L1-LR) + LR,462.5,0.09115174759590898,-1.6893532852390287,-0.2389106327624578,1.0
SVM (All),Integrated-RFECV (L1-LR) + KNN,100.0,2.1180418735835142e-07,5.188667507000264,0.7337883959044369,0.0001268707082276525
